id,name,form_name,分類,カテゴリー,タイプ1,タイプ2,高さ,重さ,HP,攻撃,防御,特攻,特防,素早さ,合計,特性1,特性2,夢特性,hiragana,romaji
336,ハブネーク,通常,キバへびポケモン,通常,どく,,2.7,52.5,73,100,60,100,60,65,458,だっぴ,,すりぬけ,はぶねーく,habuneku
337,ルナトーン,通常,いんせきポケモン,通常,いわ,エスパー,1,168,90,55,65,95,85,70,460,ふゆう,,,るなとーん,runaton
338,ソルロック,通常,いんせきポケモン,通常,いわ,エスパー,1.2,154,90,95,85,55,65,70,460,ふゆう,,,そるろっく,sorurokku
339,ドジョッチ,通常,ひげうおポケモン,通常,みず,じめん,0.4,1.9,50,48,43,46,41,60,288,どんかん,きけんよち,うるおいボディ,どじょっち,dojocchi
340,ナマズン,通常,ひげうおポケモン,通常,みず,じめん,0.9,23.6,110,78,73,76,71,60,468,どんかん,きけんよち,うるおいボディ,なまずん,namazun
341,ヘイガニ,通常,ごろつきポケモン,通常,みず,,0.6,11.5,43,80,65,50,35,35,308,かいりきバサミ,シェルアーマー,てきおうりょく,へいがに,heigani
342,シザリガー,通常,ならずものポケモン,通常,みず,あく,1.1,32.8,63,120,85,90,55,55,468,かいりきバサミ,シェルアーマー,てきおうりょく,しざりがー,shizariga
343,ヤジロン,通常,どぐうポケモン,通常,じめん,エスパー,0.5,21.5,40,40,55,40,70,55,300,ふゆう,,,やじろん,yajiron
344,ネンドール,通常,どぐうポケモン,通常,じめん,エスパー,1.5,108,60,70,105,70,120,75,500,ふゆう,,,ねんどーる,nendoru
345,リリーラ,通常,ウミユリポケモン,通常,いわ,くさ,1,23.8,66,41,77,61,87,23,355,きゅうばん,,よびみず,りりーら,ririra
346,ユレイドル,通常,いわつぼポケモン,通常,いわ,くさ,1.5,60.4,86,81,97,81,107,43,495,きゅうばん,,よびみず,ゆれいどる,yureidoru
347,アノプス,通常,むかしエビポケモン,通常,いわ,むし,0.7,12.5,45,95,50,40,50,75,355,カブトアーマー,,すいすい,あのぷす,anopusu
348,アーマルド,通常,かっちゅうポケモン,通常,いわ,むし,1.5,68.2,75,125,100,70,80,45,495,カブトアーマー,,すいすい,あーまるど,amarudo
349,ヒンバス,通常,さかなポケモン,通常,みず,,0.6,7.4,20,15,20,10,55,80,200,すいすい,どんかん,てきおうりょく,ひんばす,hinbasu
350,ミロカロス,通常,いつくしみポケモン,通常,みず,,6.2,162,95,60,79,100,125,81,540,ふしぎなうろこ,かちき,メロメロボディ,みろかろす,mirokarosu
351,ポワルン,ポワルンのすがた,てんきポケモン,通常,ノーマル,,0.3,0.8,70,70,70,70,70,70,420,てんきや,,,ぽわるん,powarun
352,カクレオン,通常,いろへんげポケモン,通常,ノーマル,,1,22,60,90,70,60,120,40,440,へんしょく,,へんげんじざい,かくれおん,kakureon
353,カゲボウズ,通常,にんぎょうポケモン,通常,ゴースト,,0.6,2.3,44,75,35,63,33,45,295,ふみん,おみとおし,のろわれボディ,かげぼうず,kagebouzu
354,ジュペッタ,通常,ぬいぐるみポケモン,通常,ゴースト,,1.1,12.5,64,115,65,83,63,65,455,ふみん,おみとおし,のろわれボディ,じゅぺった,jupetta
355,ヨマワル,通常,おむかえポケモン,通常,ゴースト,,0.8,15,20,40,90,30,90,25,295,ふゆう,,おみとおし,よまわる,yomawaru
356,サマヨール,通常,てまねきポケモン,通常,ゴースト,,1.6,30.6,40,70,130,60,130,25,455,プレッシャー,,おみとおし,さまよーる,samayoru
357,トロピウス,通常,フルーツポケモン,通常,くさ,ひこう,2,100,99,68,83,72,87,51,460,ようりょくそ,サンパワー,しゅうかく,とろぴうす,toropiusu
358,チリーン,通常,ふうりんポケモン,通常,エスパー,,0.6,1,75,50,80,95,90,65,455,ふゆう,,,ちりーん,chirin
359,アブソル,通常,わざわいポケモン,通常,あく,,1.2,47,65,130,60,75,60,75,465,プレッシャー,きょううん,せいぎのこころ,あぶそる,abusoru
360,ソーナノ,通常,ほがらかポケモン,通常,エスパー,,0.6,14,95,23,48,23,48,23,260,かげふみ,,テレパシー,そーなの,sonano
361,ユキワラシ,通常,ゆきかさポケモン,通常,こおり,,0.7,16.8,50,50,50,50,50,50,300,せいしんりょく,アイスボディ,ムラっけ,ゆきわらし,yukiwarashi
362,オニゴーリ,通常,がんめんポケモン,通常,こおり,,1.5,256.5,80,80,80,80,80,80,480,せいしんりょく,アイスボディ,ムラっけ,おにごーり,onigori
363,タマザラシ,通常,てたたきポケモン,通常,こおり,みず,0.8,39.5,70,40,50,55,50,25,290,あついしぼう,アイスボディ,どんかん,たまざらし,tamazarashi
364,トドグラー,通常,たままわしポケモン,通常,こおり,みず,1.1,87.6,90,60,70,75,70,45,410,あついしぼう,アイスボディ,どんかん,とどぐらー,todogura
365,トドゼルガ,通常,こおりわりポケモン,通常,こおり,みず,1.4,150.6,110,80,90,95,90,65,530,あついしぼう,アイスボディ,どんかん,とどぜるが,todozeruga
366,パールル,通常,2まいがいポケモン,通常,みず,,0.4,52.5,35,64,85,74,55,32,345,シェルアーマー,,びびり,ぱーるる,paruru
367,ハンテール,通常,しんかいポケモン,通常,みず,,1.7,27,55,104,105,94,75,52,485,すいすい,,みずのベール,はんてーる,hanteru
368,サクラビス,通常,なんかいポケモン,通常,みず,,1.8,22.6,55,84,105,114,75,52,485,すいすい,,うるおいボディ,さくらびす,sakurabisu
369,ジーランス,通常,ちょうじゅポケモン,通常,みず,いわ,1,23.4,100,90,130,45,65,55,485,すいすい,いしあたま,がんじょう,じーらんす,jiransu
370,ラブカス,通常,ランデブーポケモン,通常,みず,,0.6,8.7,43,30,55,40,65,97,330,すいすい,,うるおいボディ,らぶかす,rabukasu
371,タツベイ,通常,いしあたまポケモン,通常,ドラゴン,,0.6,42.1,45,75,60,40,30,50,300,いしあたま,,ちからずく,たつべい,tatsubei
372,コモルー,通常,にんたいポケモン,通常,ドラゴン,,1.1,110.5,65,95,100,60,50,50,420,いしあたま,,ぼうじん,こもるー,komoru
373,ボーマンダ,通常,ドラゴンポケモン,通常,ドラゴン,ひこう,1.5,102.6,95,135,80,110,80,100,600,いかく,,じしんかじょう,ぼーまんだ,bomanda
374,ダンバル,通常,てっきゅうポケモン,通常,はがね,エスパー,0.6,95.2,40,55,80,35,60,30,300,クリアボディ,,ライトメタル,だんばる,danbaru
375,メタング,通常,てつツメポケモン,通常,はがね,エスパー,1.2,202.5,60,75,100,55,80,50,420,クリアボディ,,ライトメタル,めたんぐ,metangu
376,メタグロス,通常,てつあしポケモン,通常,はがね,エスパー,1.6,550,80,135,130,95,90,70,600,クリアボディ,,ライトメタル,めたぐろす,metagurosu
377,レジロック,通常,いわやまポケモン,準伝説,いわ,,1.7,230,80,100,200,50,100,50,580,クリアボディ,,がんじょう,れじろっく,rejirokku
378,レジアイス,通常,ひょうざんポケモン,準伝説,こおり,,1.8,175,80,50,100,100,200,50,580,クリアボディ,,アイスボディ,れじあいす,rejiaisu
379,レジスチル,通常,くろがねポケモン,準伝説,はがね,,1.9,205,80,75,150,75,150,50,580,クリアボディ,,ライトメタル,れじすちる,rejisuchiru
380,ラティアス,通常,むげんポケモン,準伝説,ドラゴン,エスパー,1.4,40,80,80,90,110,130,110,600,ふゆう,,,らてぃあす,rateiasu
381,ラティオス,通常,むげんポケモン,準伝説,ドラゴン,エスパー,2,60,80,90,80,130,110,110,600,ふゆう,,,らてぃおす,rateiosu
382,カイオーガ,カイオーガのすがた,かいていポケモン,伝説,みず,,4.5,352,100,100,90,150,140,90,670,あめふらし,,,かいおーが,kaioga
383,グラードン,グラードンのすがた,たいりくポケモン,伝説,じめん,,3.5,950,100,150,140,100,90,90,670,ひでり,,,ぐらーどん,guradon
384,レックウザ,通常,てんくうポケモン,伝説,ドラゴン,ひこう,7,206.5,105,150,90,150,90,95,680,エアロック,,,れっくうざ,rekkuza
385,ジラーチ,通常,ねがいごとポケモン,幻,はがね,エスパー,0.3,1.1,100,100,100,100,100,100,600,てんのめぐみ,,,じらーち,jirachi
386,デオキシス,ノーマルフォルム,DNAポケモン,幻,エスパー,,1.7,60.8,50,150,50,150,50,150,600,プレッシャー,,,でおきしす,deokishisu
387,ナエトル,通常,わかばポケモン,通常,くさ,,0.4,10.2,55,68,64,45,55,31,318,しんりょく,,シェルアーマー,なえとる,naetoru
388,ハヤシガメ,通常,こだちポケモン,通常,くさ,,1.1,97,75,89,85,55,65,36,405,しんりょく,,シェルアーマー,はやしがめ,hayashigame
389,ドダイトス,通常,たいりくポケモン,通常,くさ,じめん,2.2,310,95,109,105,75,85,56,525,しんりょく,,シェルアーマー,どだいとす,dodaitosu
390,ヒコザル,通常,こざるポケモン,通常,ほのお,,0.5,6.2,44,58,44,58,44,61,309,もうか,,てつのこぶし,ひこざる,hikozaru
391,モウカザル,通常,やんちゃポケモン,通常,ほのお,かくとう,0.9,22,64,78,52,78,52,81,405,もうか,,てつのこぶし,もうかざる,moukazaru
392,ゴウカザル,通常,かえんポケモン,通常,ほのお,かくとう,1.2,55,76,104,71,104,71,108,534,もうか,,てつのこぶし,ごうかざる,goukazaru
393,ポッチャマ,通常,ペンギンポケモン,通常,みず,,0.4,5.2,53,51,53,61,56,40,314,げきりゅう,,かちき,ぽっちゃま,pocchama
394,ポッタイシ,通常,ペンギンポケモン,通常,みず,,0.8,23,64,66,68,81,76,50,405,げきりゅう,,かちき,ぽったいし,pottaishi
395,エンペルト,通常,こうていポケモン,通常,みず,はがね,1.7,84.5,84,86,88,111,101,60,530,げきりゅう,,かちき,えんぺると,enperuto
396,ムックル,通常,むくどりポケモン,通常,ノーマル,ひこう,0.3,2,40,55,30,30,30,60,245,するどいめ,,すてみ,むっくる,mukkuru
397,ムクバード,通常,むくどりポケモン,通常,ノーマル,ひこう,0.6,15.5,55,75,50,40,40,80,340,いかく,,すてみ,むくばーど,mukubado
398,ムクホーク,通常,もうきんポケモン,通常,ノーマル,ひこう,1.2,24.9,85,120,70,50,60,100,485,いかく,,すてみ,むくほーく,mukuhoku
399,ビッパ,通常,まるねずみポケモン,通常,ノーマル,,0.5,20,59,45,40,35,40,31,250,たんじゅん,てんねん,ムラっけ,びっぱ,bippa
400,ビーダル,通常,ビーバーポケモン,通常,ノーマル,みず,1,31.5,79,85,60,55,60,71,410,たんじゅん,てんねん,ムラっけ,びーだる,bidaru
401,コロボーシ,通常,こおろぎポケモン,通常,むし,,0.3,2.2,37,25,41,25,41,25,194,だっぴ,,にげあし,ころぼーし,koroboshi
402,コロトック,通常,こおろぎポケモン,通常,むし,,1,25.5,77,85,51,55,51,65,384,むしのしらせ,,テクニシャン,ころとっく,korotokku
403,コリンク,通常,せんこうポケモン,通常,でんき,,0.5,9.5,45,65,34,40,34,45,263,とうそうしん,いかく,こんじょう,こりんく,korinku
404,ルクシオ,通常,でんこうポケモン,通常,でんき,,0.9,30.5,60,85,49,60,49,60,363,とうそうしん,いかく,こんじょう,るくしお,rukushio
405,レントラー,通常,がんこうポケモン,通常,でんき,,1.4,42,80,120,79,95,79,70,523,とうそうしん,いかく,こんじょう,れんとらー,rentora
406,スボミー,通常,つぼみポケモン,通常,くさ,どく,0.2,1.2,40,30,35,50,70,55,280,しぜんかいふく,どくのトゲ,リーフガード,すぼみー,subomi
407,ロズレイド,通常,ブーケポケモン,通常,くさ,どく,0.9,14.5,60,70,65,125,105,90,515,しぜんかいふく,どくのトゲ,テクニシャン,ろずれいど,rozureido
408,ズガイドス,通常,ずつきポケモン,通常,いわ,,0.9,31.5,67,125,40,30,30,58,350,かたやぶり,,ちからずく,ずがいどす,zugaidosu
409,ラムパルド,通常,ずつきポケモン,通常,いわ,,1.6,102.5,97,165,60,65,50,58,495,かたやぶり,,ちからずく,らむぱるど,ramuparudo
410,タテトプス,通常,シールドポケモン,通常,いわ,はがね,0.5,57,30,42,118,42,88,30,350,がんじょう,,ぼうおん,たてとぷす,tatetopusu
411,トリデプス,通常,シールドポケモン,通常,いわ,はがね,1.3,149.5,60,52,168,47,138,30,495,がんじょう,,ぼうおん,とりでぷす,toridepusu
412,ミノムッチ,くさきのミノ,みのむしポケモン,通常,むし,,0.2,3.4,40,29,45,29,45,36,224,だっぴ,,ぼうじん,みのむっち,minomucchi
413,ミノマダム,くさきのミノ,みのむしポケモン,通常,むし,くさ,0.5,6.5,60,59,85,79,105,36,424,きけんよち,,ぼうじん,みのまだむ,minomadamu
414,ガーメイル,通常,ミノガポケモン,通常,むし,ひこう,0.9,23.3,70,94,50,94,50,66,424,むしのしらせ,,いろめがね,がーめいる,gameiru
415,ミツハニー,通常,はちのこポケモン,通常,むし,ひこう,0.3,5.5,30,30,42,30,42,70,244,みつあつめ,,はりきり,みつはにー,mitsuhani
416,ビークイン,通常,はちのすポケモン,通常,むし,ひこう,1.2,38.5,70,80,102,80,102,40,474,プレッシャー,,きんちょうかん,びーくいん,bikuin
417,パチリス,通常,でんきリスポケモン,通常,でんき,,0.4,3.9,60,45,70,45,90,95,405,にげあし,ものひろい,ちくでん,ぱちりす,pachirisu
418,ブイゼル,通常,うみイタチポケモン,通常,みず,,0.7,29.5,55,65,35,60,30,85,330,すいすい,,みずのベール,ぶいぜる,buizeru
419,フローゼル,通常,うみイタチポケモン,通常,みず,,1.1,33.5,85,105,55,85,50,115,495,すいすい,,みずのベール,ふろーぜる,furozeru
420,チェリンボ,通常,さくらんぼポケモン,通常,くさ,,0.4,3.3,45,35,45,62,53,35,275,ようりょくそ,,,ちぇりんぼ,chierinbo
421,チェリム,ネガフォルム,サクラポケモン,通常,くさ,,0.5,9.3,70,60,70,87,78,85,450,フラワーギフト,,,ちぇりむ,chierimu
422,カラナクシ,にしのうみ,ウミウシポケモン,通常,みず,,0.3,6.3,76,48,48,57,62,34,325,ねんちゃく,よびみず,すなのちから,からなくし,karanakushi
423,トリトドン,にしのうみ,ウミウシポケモン,通常,みず,じめん,0.9,29.9,111,83,68,92,82,39,475,ねんちゃく,よびみず,すなのちから,とりとどん,toritodon
424,エテボース,通常,おながポケモン,通常,ノーマル,,1.2,20.3,75,100,66,60,66,115,482,テクニシャン,ものひろい,スキルリンク,えてぼーす,etebosu
425,フワンテ,通常,ふうせんポケモン,通常,ゴースト,ひこう,0.4,1.2,90,50,34,60,44,70,348,ゆうばく,かるわざ,ねつぼうそう,ふわんて,fuwante
426,フワライド,通常,ききゅうポケモン,通常,ゴースト,ひこう,1.2,15,150,80,44,90,54,80,498,ゆうばく,かるわざ,ねつぼうそう,ふわらいど,fuwaraido
427,ミミロル,通常,うさぎポケモン,通常,ノーマル,,0.4,5.5,55,66,44,44,56,85,350,にげあし,ぶきよう,じゅうなん,みみろる,mimiroru
428,ミミロップ,通常,うさぎポケモン,通常,ノーマル,,1.2,33.3,65,76,84,54,96,105,480,メロメロボディ,ぶきよう,じゅうなん,みみろっぷ,mimiroppu
429,ムウマージ,通常,マジカルポケモン,通常,ゴースト,,0.9,4.4,60,60,60,105,105,105,495,ふゆう,,,むうまーじ,mumaji
430,ドンカラス,通常,おおボスポケモン,通常,あく,ひこう,0.9,27.3,100,125,52,105,52,71,505,ふみん,きょううん,じしんかじょう,どんからす,donkarasu
431,ニャルマー,通常,ねこかぶりポケモン,通常,ノーマル,,0.5,3.9,49,55,42,42,37,85,310,じゅうなん,マイペース,するどいめ,にゃるまー,nyaruma
432,ブニャット,通常,とらねこポケモン,通常,ノーマル,,1,43.8,71,82,64,64,59,112,452,あついしぼう,マイペース,まけんき,ぶにゃっと,bunyatto
433,リーシャン,通常,すずポケモン,通常,エスパー,,0.2,0.6,45,30,50,65,50,45,285,ふゆう,,,りーしゃん,rishan
434,スカンプー,通常,スカンクポケモン,通常,どく,あく,0.4,19.2,63,63,47,41,41,74,329,あくしゅう,ゆうばく,するどいめ,すかんぷー,sukanpu
435,スカタンク,通常,スカンクポケモン,通常,どく,あく,1,38,103,93,67,71,61,84,479,あくしゅう,ゆうばく,するどいめ,すかたんく,sukatanku
436,ドーミラー,通常,せいどうポケモン,通常,はがね,エスパー,0.5,60.5,57,24,86,24,86,23,300,ふゆう,たいねつ,ヘヴィメタル,どーみらー,domira
437,ドータクン,通常,どうたくポケモン,通常,はがね,エスパー,1.3,187,67,89,116,79,116,33,500,ふゆう,たいねつ,ヘヴィメタル,どーたくん,dotakun
438,ウソハチ,通常,ぼんさいポケモン,通常,いわ,,0.5,15,50,80,95,10,45,10,290,がんじょう,いしあたま,びびり,うそはち,usohachi
439,マネネ,通常,マイムポケモン,通常,エスパー,フェアリー,0.6,13,20,25,45,70,90,60,310,ぼうおん,フィルター,テクニシャン,まねね,manene
440,ピンプク,通常,ままごとポケモン,通常,ノーマル,,0.6,24.4,100,5,5,15,65,30,220,しぜんかいふく,てんのめぐみ,フレンドガード,ぴんぷく,pinpuku
441,ペラップ,通常,おんぷポケモン,通常,ノーマル,ひこう,0.5,1.9,76,65,45,92,42,91,411,するどいめ,ちどりあし,はとむね,ぺらっぷ,perappu
442,ミカルゲ,通常,ふういんポケモン,通常,ゴースト,あく,1,108,50,92,108,92,108,35,485,プレッシャー,,すりぬけ,みかるげ,mikaruge
443,フカマル,通常,りくザメポケモン,通常,ドラゴン,じめん,0.7,20.5,58,70,45,40,45,42,300,すながくれ,,さめはだ,ふかまる,fukamaru
444,ガバイト,通常,ほらあなポケモン,通常,ドラゴン,じめん,1.4,56,68,90,65,50,55,82,410,すながくれ,,さめはだ,がばいと,gabaito
445,ガブリアス,通常,マッハポケモン,通常,ドラゴン,じめん,1.9,95,108,130,95,80,85,102,600,すながくれ,,さめはだ,がぶりあす,gaburiasu
446,ゴンベ,通常,おおぐいポケモン,通常,ノーマル,,0.6,105,135,85,40,40,85,5,390,ものひろい,あついしぼう,くいしんぼう,ごんべ,gonbe
447,リオル,通常,はもんポケモン,通常,かくとう,,0.7,20.2,40,70,40,35,40,60,285,ふくつのこころ,せいしんりょく,いたずらごころ,りおる,rioru
448,ルカリオ,通常,はどうポケモン,通常,かくとう,はがね,1.2,54,70,110,70,115,70,90,525,ふくつのこころ,せいしんりょく,せいぎのこころ,るかりお,rukario
449,ヒポポタス,通常,カバポケモン,通常,じめん,,0.8,49.5,68,72,78,38,42,32,330,すなおこし,,すなのちから,ひぽぽたす,hipopotasu
450,カバルドン,通常,じゅうりょうポケモン,通常,じめん,,2,300,108,112,118,68,72,47,525,すなおこし,,すなのちから,かばるどん,kabarudon
451,スコルピ,通常,さそりポケモン,通常,どく,むし,0.8,12,40,50,90,30,55,65,330,カブトアーマー,スナイパー,するどいめ,すこるぴ,sukorupi
452,ドラピオン,通常,ばけさそりポケモン,通常,どく,あく,1.3,61.5,70,90,110,60,75,95,500,カブトアーマー,スナイパー,するどいめ,どらぴおん,dorapion
453,グレッグル,通常,どくづきポケモン,通常,どく,かくとう,0.7,23,48,61,40,61,40,50,300,きけんよち,かんそうはだ,どくしゅ,ぐれっぐる,guregguru
454,ドクロッグ,通常,どくづきポケモン,通常,どく,かくとう,1.3,44.4,83,106,65,86,65,85,490,きけんよち,かんそうはだ,どくしゅ,どくろっぐ,dokuroggu
455,マスキッパ,通常,むしとりポケモン,通常,くさ,,1.4,27,74,100,72,90,72,46,454,ふゆう,,,ますきっぱ,masukippa
456,ケイコウオ,通常,はねうおポケモン,通常,みず,,0.4,7,49,49,56,49,61,66,330,すいすい,よびみず,みずのベール,けいこうお,keikouo
457,ネオラント,通常,ネオンポケモン,通常,みず,,1.2,24,69,69,76,69,86,91,460,すいすい,よびみず,みずのベール,ねおらんと,neoranto
458,タマンタ,通常,カイトポケモン,通常,みず,ひこう,1,65,45,20,50,60,120,50,345,すいすい,ちょすい,みずのベール,たまんた,tamanta
459,ユキカブリ,通常,じゅひょうポケモン,通常,くさ,こおり,1,50.5,60,62,50,62,60,40,334,ゆきふらし,,ぼうおん,ゆきかぶり,yukikaburi
460,ユキノオー,通常,じゅひょうポケモン,通常,くさ,こおり,2.2,135.5,90,92,75,92,85,60,494,ゆきふらし,,ぼうおん,ゆきのおー,yukinoo
461,マニューラ,通常,かぎづめポケモン,通常,あく,こおり,1.1,34,70,120,65,45,85,125,510,プレッシャー,,わるいてぐせ,まにゅーら,manyuーra
462,ジバコイル,通常,じばポケモン,通常,でんき,はがね,1.2,180,70,70,115,130,90,60,535,じりょく,がんじょう,アナライズ,じばこいる,jibakoiru
463,ベロベルト,通常,なめまわしポケモン,通常,ノーマル,,1.7,140,110,85,95,80,95,50,515,マイペース,どんかん,ノーてんき,べろべると,beroberuto
464,ドサイドン,通常,ドリルポケモン,通常,じめん,いわ,2.4,282.8,115,140,130,55,55,40,535,ひらいしん,ハードロック,すてみ,どさいどん,dosaidon
465,モジャンボ,通常,ツルじょうポケモン,通常,くさ,,2,128.6,100,100,125,110,50,50,535,ようりょくそ,リーフガード,さいせいりょく,もじゃんぼ,mojanbo
466,エレキブル,通常,らいでんポケモン,通常,でんき,,1.8,138.6,75,123,67,95,85,95,540,でんきエンジン,,やるき,えれきぶる,erekiburu
467,ブーバーン,通常,ばくえんポケモン,通常,ほのお,,1.6,68,75,95,67,125,95,83,540,ほのおのからだ,,やるき,ぶーばーん,buban
468,トゲキッス,通常,しゅくふくポケモン,通常,フェアリー,ひこう,1.5,38,85,50,95,120,115,80,545,はりきり,てんのめぐみ,きょううん,とげきっす,togekissu
469,メガヤンマ,通常,オニトンボポケモン,通常,むし,ひこう,1.9,51.5,86,76,86,116,56,95,515,かそく,いろめがね,おみとおし,めがやんま,megayanma
470,リーフィア,通常,しんりょくポケモン,通常,くさ,,1,25.5,65,110,130,60,65,95,525,リーフガード,,ようりょくそ,りーふぃあ,rifuia
471,グレイシア,通常,しんせつポケモン,通常,こおり,,0.8,25.9,65,60,110,130,95,65,525,ゆきがくれ,,アイスボディ,ぐれいしあ,gureishia
472,グライオン,通常,キバさそりポケモン,通常,じめん,ひこう,2,42.5,75,95,125,45,75,95,510,かいりきバサミ,すながくれ,ポイズンヒール,ぐらいおん,guraion
473,マンムー,通常,2ほんキバポケモン,通常,こおり,じめん,2.5,291,110,130,80,70,60,80,530,どんかん,ゆきがくれ,あついしぼう,まんむー,manmu
474,ポリゴンＺ,通常,バーチャルポケモン,通常,ノーマル,,0.9,34,85,80,70,135,75,90,535,てきおうりょく,ダウンロード,アナライズ,ぽりごんＺ,porigonｚ
475,エルレイド,通常,やいばポケモン,通常,エスパー,かくとう,1.6,52,68,125,65,65,115,80,518,ふくつのこころ,きれあじ,せいぎのこころ,えるれいど,erureido
476,ダイノーズ,通常,コンパスポケモン,通常,いわ,はがね,1.4,340,60,55,145,75,150,40,525,がんじょう,じりょく,すなのちから,だいのーず,dainozu
477,ヨノワール,通常,てづかみポケモン,通常,ゴースト,,2.2,106.6,45,100,135,65,135,45,525,プレッシャー,,おみとおし,よのわーる,yonowaru
478,ユキメノコ,通常,ゆきぐにポケモン,通常,こおり,ゴースト,1.3,26.6,70,80,70,80,70,110,480,ゆきがくれ,,のろわれボディ,ゆきめのこ,yukimenoko
479,ロトム,ロトムのすがた,プラズマポケモン,通常,でんき,ゴースト,0.3,0.3,50,50,77,95,77,91,440,ふゆう,,,ろとむ,rotomu
480,ユクシー,通常,ちしきポケモン,準伝説,エスパー,,0.3,0.3,75,75,130,75,130,95,580,ふゆう,,,ゆくしー,yukushi
481,エムリット,通常,かんじょうポケモン,準伝説,エスパー,,0.3,0.3,80,105,105,105,105,80,580,ふゆう,,,えむりっと,emuritto
482,アグノム,通常,いしポケモン,準伝説,エスパー,,0.3,0.3,75,125,70,125,70,115,580,ふゆう,,,あぐのむ,agunomu
483,ディアルガ,通常,じかんポケモン,伝説,はがね,ドラゴン,5.4,683,100,120,120,150,100,90,680,プレッシャー,,テレパシー,でぃあるが,deiaruga
484,パルキア,通常,くうかんポケモン,伝説,みず,ドラゴン,4.2,336,90,120,100,150,120,100,680,プレッシャー,,テレパシー,ぱるきあ,parukia
485,ヒードラン,通常,かこうポケモン,準伝説,ほのお,はがね,1.7,430,91,90,106,130,106,77,600,もらいび,,ほのおのからだ,ひーどらん,hidoran
486,レジギガス,通常,きょだいポケモン,準伝説,ノーマル,,3.7,420,110,160,110,80,110,100,670,スロースタート,,,れじぎがす,rejigigasu
487,ギラティナ,アナザーフォルム,はんこつポケモン,伝説,ゴースト,ドラゴン,4.5,750,150,100,120,100,120,90,680,プレッシャー,,テレパシー,ぎらてぃな,girateina
488,クレセリア,通常,みかづきポケモン,準伝説,エスパー,,1.5,85.6,120,70,110,75,120,85,580,ふゆう,,,くれせりあ,kureseria
489,フィオネ,通常,かいようポケモン,幻,みず,,0.4,3.1,80,80,80,80,80,80,480,うるおいボディ,,,ふぃおね,fuione
490,マナフィ,通常,かいゆうポケモン,幻,みず,,0.3,1.4,100,100,100,100,100,100,600,うるおいボディ,,,まなふぃ,manafui
491,ダークライ,通常,あんこくポケモン,幻,あく,,1.5,50.5,70,90,90,135,90,125,600,ナイトメア,,,だーくらい,dakurai
492,シェイミ,ランドフォルム,かんしゃポケモン,幻,くさ,,0.2,2.1,100,100,100,100,100,100,600,しぜんかいふく,,,しぇいみ,sheimi
493,アルセウス,通常,そうぞうポケモン,幻,ノーマル,,3.2,320,120,120,120,120,120,120,720,マルチタイプ,,,あるせうす,aruseusu
494,ビクティニ,通常,しょうりポケモン,幻,エスパー,ほのお,0.4,4,100,100,100,100,100,100,600,しょうりのほし,,,びくてぃに,bikuteini
495,ツタージャ,通常,くさへびポケモン,通常,くさ,,0.6,8.1,45,45,55,45,55,63,308,しんりょく,,あまのじゃく,つたーじゃ,tsutaja
496,ジャノビー,通常,くさへびポケモン,通常,くさ,,0.8,16,60,60,75,60,75,83,413,しんりょく,,あまのじゃく,じゃのびー,janobi
497,ジャローダ,通常,ロイヤルポケモン,通常,くさ,,3.3,63,75,75,95,75,95,113,528,しんりょく,,あまのじゃく,じゃろーだ,jaroda
498,ポカブ,通常,ひぶたポケモン,通常,ほのお,,0.5,9.9,65,63,45,45,45,45,308,もうか,,あついしぼう,ぽかぶ,pokabu
499,チャオブー,通常,ひぶたポケモン,通常,ほのお,かくとう,1,55.5,90,93,55,70,55,55,418,もうか,,あついしぼう,ちゃおぶー,chaobu
500,エンブオー,通常,おおひぶたポケモン,通常,ほのお,かくとう,1.6,150,110,123,65,100,65,65,528,もうか,,すてみ,えんぶおー,enbuo
501,ミジュマル,通常,ラッコポケモン,通常,みず,,0.5,5.9,55,55,45,63,45,45,308,げきりゅう,,シェルアーマー,みじゅまる,mijumaru
502,フタチマル,通常,しゅぎょうポケモン,通常,みず,,0.8,24.5,75,75,60,83,60,60,413,げきりゅう,,シェルアーマー,ふたちまる,futachimaru
503,ダイケンキ,通常,かんろくポケモン,通常,みず,,1.5,94.6,95,100,85,108,70,70,528,げきりゅう,,シェルアーマー,だいけんき,daikenki
504,ミネズミ,通常,みはりポケモン,通常,ノーマル,,0.5,11.6,45,55,39,35,39,42,255,にげあし,するどいめ,アナライズ,みねずみ,minezumi
505,ミルホッグ,通常,けいかいポケモン,通常,ノーマル,,1.1,27,60,85,69,60,69,77,420,はっこう,するどいめ,アナライズ,みるほっぐ,miruhoggu
506,ヨーテリー,通常,こいぬポケモン,通常,ノーマル,,0.4,4.1,45,60,45,25,45,55,275,やるき,ものひろい,にげあし,よーてりー,yoteri
507,ハーデリア,通常,ちゅうけんポケモン,通常,ノーマル,,0.9,14.7,65,80,65,35,65,60,370,いかく,すなかき,きもったま,はーでりあ,haderia
508,ムーランド,通常,かんだいポケモン,通常,ノーマル,,1.2,61,85,110,90,45,90,80,500,いかく,すなかき,きもったま,むーらんど,murando
509,チョロネコ,通常,しょうわるポケモン,通常,あく,,0.4,10.1,41,50,37,50,37,66,281,じゅうなん,かるわざ,いたずらごころ,ちょろねこ,choroneko
